id	Q1
471045029600190464	1
470599305372659712	1
469945926522785792	1
469653339010252802	1
468958193297920000	1
471703069395533824	1
471507257839341569	1
471462539097042944	1
470973247681748992	1
470800278992998400	1
470674474019618820	1
470582391392976896	1
470379378187063296	1
470232392964509696	1
470122105393000448	1
469887891858919424	1
469719528977342465	1
469632884236906496	1
469526155046158336	1
469356238502121472	1
469284918590464000	1
469277856422715392	1
468806930912542720	1
467825762721341440	1
467731695018721280	1
467328596776734720	1
467165067927359488	1
466698924724473856	1
466493144562163712	1
466285009075466240	1
465534554539687938	1
464986155109580800	1
464924258561687552	1
464918972186783745	1
464528089511653378	1
463839815956312064	1
463516617184260096	1
463432039329697792	1
463368674540519425	1
463133888479383553	1
462797726942765056	1
462796487047397376	1
462753859606032384	1
462661368190353409	1
462639568404373505	1
462451404771438592	1
462444266011103232	1
461963516660830208	1
472941097929682944	1
472929684817461248	1
472922987587731456	1
472915116724207616	1
472912955127115776	1
472909790172446720	1
472885617488326656	1
472873108366708738	1
472857035173011458	1
472855102278340608	1
472850491735834624	1
472845980845740032	1
472845681905115137	1
472814314035097600	1
472800208292552705	1
472795930643931136	1
472793598736736256	1
472769518587351042	1
472757377260081152	1
472754113483407360	1
472637564571369472	1
472608535633600512	1
472593764595560448	1
472578899738894336	1
472571327665434624	1
472570941458108416	1
472568786865094656	1
472567546051563520	1
472566987185750016	1
472563455212670976	1
472558664054616064	1
472552015344959488	1
472545552002215936	1
472540607563309058	1
472539128069120000	1
472532423784542208	1
472523506329325568	1
472518499785773056	1
472516931593834496	1
472495357747003393	1
472481296078602240	1
472470391416700929	1
472449515057061888	1
472401100902236160	1
472383648105127937	1
472335609051484160	1
472258571359768576	1
472250684528943104	1
472222964419936256	1
472212629969465344	1
472195704685744129	1
472187316556271617	1
472186121930412032	1
472181243128582144	1
472166026546020354	1
472146258283737088	1
472139796899704832	1
472117630350786560	1
472041958966173697	1
472033901125599232	1
472022134202843136	1
471874172117712896	1
471870569433268224	1
471837692121317376	1
471801578136272896	1
471799767518150657	1
471774191851958273	1
471710282876588032	1
471704656826355712	1
471658922957606912	1
471650911870136320	1
471616564190781440	1
471561982630715392	1
471533880542257152	1
471490291120492544	1
471478035577712640	1
471477403530051584	1
471455860250906624	1
471442463920775168	1
471428485417025536	1
471424776373030912	1
471356751934410752	1
471340644905271296	1
471319932991307779	1
471310017585369088	1
471294889322631168	1
471261433486118912	1
471149169781268481	1
471118352187162624	1
471095997394071552	1
471087007486455808	1
471052614226812928	1
471048092788457473	1
471045025741406208	1
471044699453935616	1
471037238458204160	1
471018151556444160	1
471016961514536960	1
471008386792693760	1
471001362235273216	1
470973055900979200	1
470968843628969984	1
470949131641688064	1
470947293693489152	1
470867573178122240	1
470827586164391937	1
470816011155824640	1
470801001507987456	1
470800623676686336	1
470774465459388416	1
470770470334504960	1
470749511011536897	1
470745900890222592	1
470740850440667136	1
470740276018184192	1
470731926228434944	1
470724998261657602	1
470722397700882432	1
470691234961719296	1
470683919445426176	1
470665450192650240	1
470642809377013760	1
470632863835389952	1
470623979620040704	1
470587533748076545	1
470581689769791488	1
470577459529007104	1
470544130276605953	1
470541857374863360	1
470469726800707584	1
470421223495970816	1
470414861285867520	1
470409074589589504	1
470408181148303361	1
470402877387583488	1
470400586933084160	1
470378467323039744	1
470375766946226176	1
470369983638151168	1
470367287568916480	1
470361493746503680	1
470357415175942144	1
470351032938405888	1
470348115825135616	1
470345533106954242	1
470344387822489601	1
470332693637787648	1
470330719211118592	1
470310957999480832	1
470304276829720576	1
470303874688241665	1
470273606308462592	1
470265628721704962	1
470241289280421888	1
470177714083598338	1
470071355782987776	1
470060874137600000	1
470026157396869121	1
470025738490773504	1
470018814537920512	1
470008598852947969	1
470004730224476160	1
469992801745518592	1
469985824608514050	1
469983234130849792	1
469979859301990400	1
469919696201220097	1
469913328413081600	1
469890725497167872	1
469874432182591489	1
469868092865400832	1
469868085554319361	1
469851372826157056	1
469837635381645312	1
469714850357448704	1
469693700776656896	1
469684443649933312	1
469680949295591425	1
469647470327508992	1
469614345253838848	1
469584301974364161	1
469577169279410177	1
469537067815669760	1
469532979610796033	1
469473561863016448	1
469472628898791424	1
469469307366543360	1
469425634079301633	1
469345266509029378	1
469295792251883521	1
469279297283584000	1
469277897468153856	1
469254780804931584	1
469241169248280577	1
469219748031787009	1
469159728698753024	1
469138711624433665	1
469106923334561793	1
468988689184739328	1
468952391866667010	1
468941082685087745	1
468939473720737793	1
468931931330326528	1
468930248995012609	1
468929500655661060	1
468926492194643969	1
468907540831825920	1
468894989909774336	1
468893705202839552	1
468892884654362624	1
468883342616981507	1
468813340194906112	1
468648918205870080	1
468608598713851904	1
468594234837467136	1
468487754478014465	1
468479111002734592	1
468478433669177345	1
468241805436530688	1
468224869566783488	1
468198403797958656	1
468178666913267713	1
468135161193062400	1
468120485377884160	1
468061831127265280	1
467890052882649088	1
467888464386854913	1
467863319198826496	1
467862692322365440	1
467857960799318016	1
467856408566718465	1
467842348609990657	1
467840382081200128	1
467830870804811776	1
467826016074084353	1
467824519223476224	1
467823416226353153	1
467822518230073344	1
467805604682432513	1
467802994919354368	1
467791961697841153	1
467784827543257088	1
467763072191717376	1
467761219345342464	1
467746177925271552	1
467709354012323840	1
467703043887476736	1
467691838540103680	1
467683962048225281	1
467667938343149568	1
467660563569340416	1
467643371666698240	1
467543138887036928	1
467529949843173376	1
467499681564880896	1
467497516368265217	1
467496243988795392	1
467482220727250945	1
467476243420839938	1
467468405189386240	1
467431052727042048	1
467427878318395392	1
467379992004161538	1
467379061690736640	1
467346610108637184	1
467336166799572992	1
467247875282706432	1
467185428207247361	1
467149056469635072	1
467142529604153344	1
467138497581969408	1
467136503899254784	1
467126853258727424	1
467111787825860608	1
467111040933965825	1
467097757334126592	1
467094972421120000	1
467094140283813888	1
467093160644972544	1
467075373420019712	1
467064326776713216	1
466997995394064384	1
466987053226287104	1
466949665024262146	1
466917066399047680	1
466904175054704641	1
466814541289259008	1
466805373706719233	1
466804536330690560	1
466789540318175232	1
466784031023976450	1
466777754789498880	1
466746643866714112	1
466743431768080384	1
466709066128310273	1
466666844859146240	1
466617148400762881	1
466585409762623488	1
466578658334101504	1
466478623701344256	1
466446010202726402	1
466413431101616128	1
466400952787161088	1
466398324032278529	1
466389350037868546	1
466382944173830144	1
466382317024739331	1
466370480061296640	1
466341098278117376	1
466317805256990721	1
466304149555281920	1
466291524783714304	1
466272868431831040	1
466266564648771584	1
466259833822654464	1
466242412458037248	1
466104293305905152	1
466067145861124096	1
466066185411649536	1
466054010546307072	1
466033465692282880	1
466027152073568256	1
465971466098720768	1
465968683660365824	1
465957451888881664	1
465911763498958849	1
465904190842494976	1
465896012188758016	1
465870095794049025	1
465769015659732992	1
465743993943621632	1
465681945964183553	1
465671440466194432	1
465660196036296704	1
465647324560363520	1
465619851961069568	1
465615191380856833	1
465607763213946881	1
465573974600990720	1
465530643657400320	1
465508523313729536	1
465492375629201408	1
465388206289342464	1
465375822023385088	1
465361289410523136	1
465343466902663168	1
465332761977683968	1
465330329340112896	1
465327101638627329	1
465326761085906944	1
465324549874405376	1
465323166978428929	1
465321838735015936	1
465312146944180226	1
465300700617256960	1
465298800698216448	1
465298082356133888	1
465297787908030465	1
465296253971349506	1
465288065364148224	1
465253722453712896	1
465246344786214913	1
465234468673183744	1
465230179711729666	1
465226463495864320	1
465221167369183232	1
465220842058964992	1
465201581743693824	1
465189157417922560	1
465183125581352960	1
465181118187048961	1
465180146085814272	1
465116016545366016	1
465005699014352896	1
464991180460412928	1
464988267428212736	1
464982805118586880	1
464978757875671041	1
464974284377436160	1
464965692362862592	1
464963280151527424	1
464940522793345025	1
464935509702475778	1
464935067937026048	1
464924579694403584	1
464920389626646528	1
464893099689275392	1
464882160688570368	1
464825491485392896	1
464812879628095488	1
464616060172644353	1
464606615388557313	1
464559202812588033	1
464553997081526272	1
464549877012529153	1
464547616844685313	1
464500669614133248	1
464464759082196992	1
464438240125411328	1
464365143917600768	1
464277487590313984	1
464257032711708673	1
464255193627254784	1
464252973838004224	1
464250624910299136	1
464230685327507456	1
464224947221843968	1
464221181932212224	1
464220482813034496	1
464217402356813824	1
464213623922237441	1
464200435629584386	1
464181752857382912	1
464162807261724672	1
464155603485462529	1
464138490784280576	1
464018912921665536	1
464002608202391552	1
464001520569036800	1
463964845834915840	1
463876581568413696	1
463871895775899648	1
463853362761322496	1
463852555588481024	1
463847789353385986	1
463842022785175552	1
463840438458130432	1
463838368673984512	1
463826933742960640	1
463825014681120769	1
463814927426146304	1
463802899760295936	1
463747744793133056	1
463743959727362048	1
463721508058460161	1
463670312861986816	1
463561363798130688	1
